gene_id	reads_per_gene	transcript	reads_per_transcript
ENSG00000003402.20	152	ENST00000443227.5	6
ENSG00000003402.20	152	ENST00000461422.1	1
ENSG00000003402.20	152	ENST00000461820.5	3
ENSG00000003402.20	152	ENST00000470664.1	1
ENSG00000003402.20	152	ENST00000474842.1	3
ENSG00000003402.20	152	ENST00000490965.1	1
ENSG00000003436.16	1	ENST00000339091.8	1
ENSG00000003509.16	9	ENST00000002125.9	6
ENSG00000003509.16	9	ENST00000474154.5	1
ENSG00000003509.16	9	ENST00000474257.5	2
ENSG00000003756.17	305	ENST00000347869.8	240
ENSG00000003756.17	305	ENST00000464087.6	41
ENSG00000003756.17	305	ENST00000469838.5	2
ENSG00000003756.17	305	ENST00000475590.5	2
ENSG00000003756.17	305	ENST00000492472.1	20
ENSG00000004059.11	188	ENST00000000233.10	184
ENSG00000004059.11	188	ENST00000463733.5	4
ENSG00000004139.14	4	ENST00000379061.8	1
ENSG00000004139.14	4	ENST00000585453.5	2
ENSG00000004139.14	4	ENST00000585482.6	1
ENSG00000004142.12	58	ENST00000540200.6	47
ENSG00000004142.12	58	ENST00000618887.2	11
ENSG00000004399.13	32	ENST00000324093.9	28
ENSG00000004399.13	32	ENST00000501038.6	1
ENSG00000004399.13	32	ENST00000504524.5	2
ENSG00000004399.13	32	ENST00000504767.5	1
ENSG00000004455.17	130	ENST00000373449.7	100
ENSG00000004455.17	130	ENST00000548033.5	5
ENSG00000004455.17	130	ENST00000550338.5	2
ENSG00000004455.17	130	ENST00000629371.2	1
ENSG00000004455.17	130	ENST00000672308.1	1
ENSG00000004455.17	130	ENST00000672715.1	21
ENSG00000004468.13	15	ENST00000226279.8	4
ENSG00000004468.13	15	ENST00000506191.1	9
ENSG00000004468.13	15	ENST00000510674.1	1
ENSG00000004468.13	15	ENST00000511430.1	1
ENSG00000004478.8	19	ENST00000001008.6	19
ENSG00000004487.17	9	ENST00000356634.7	8
ENSG00000004487.17	9	ENST00000494920.1	1
ENSG00000004534.15	58	ENST00000266022.9	39
ENSG00000004534.15	58	ENST00000421682.1	2
ENSG00000004534.15	58	ENST00000422955.5	2
ENSG00000004534.15	58	ENST00000425608.5	1
ENSG00000004534.15	58	ENST00000441115.5	3
ENSG00000004534.15	58	ENST00000442092.5	10
ENSG00000004534.15	58	ENST00000446471.1	1
ENSG00000004660.15	2	ENST00000348335.7	1
ENSG00000004660.15	2	ENST00000381769.6	1
ENSG00000004700.16	32	ENST00000314748.10	1
ENSG00000004700.16	32	ENST00000421138.6	23
ENSG00000004700.16	32	ENST00000444129.7	8
ENSG00000004766.17	9	ENST00000251739.9	1
ENSG00000004766.17	9	ENST00000441602.5	1
ENSG00000004766.17	9	ENST00000458707.1	2
ENSG00000004766.17	9	ENST00000649152.1	5
ENSG00000004776.13	1	ENST00000004982.6	1
ENSG00000004779.10	4	ENST00000007516.8	4
ENSG00000004799.8	11	ENST00000005178.6	9
ENSG00000004799.8	11	ENST00000468445.1	1
ENSG00000004799.8	11	ENST00000473796.1	1
ENSG00000004809.14	1	ENST00000368919.8	1
ENSG00000004864.14	11	ENST00000265631.10	9
ENSG00000004864.14	11	ENST00000472162.2	1
ENSG00000004864.14	11	ENST00000494085.1	1
ENSG00000004866.21	33	ENST00000265437.9	1
ENSG00000004866.21	33	ENST00000323984.7	6
ENSG00000004866.21	33	ENST00000393451.7	25
ENSG00000004866.21	33	ENST00000446490.5	1
ENSG00000004897.12	17	ENST00000066544.8	7
ENSG00000004897.12	17	ENST00000527547.5	7
ENSG00000004897.12	17	ENST00000533415.5	3
ENSG00000004939.15	236	ENST00000262418.12	211
ENSG00000004939.15	236	ENST00000399246.3	25
ENSG00000004961.15	46	ENST00000321143.8	3
ENSG00000004961.15	46	ENST00000380762.5	39
ENSG00000004961.15	46	ENST00000380763.7	4
ENSG00000004975.12	23	ENST00000005340.10	21
ENSG00000004975.12	23	ENST00000575458.5	2
ENSG00000005007.13	6	ENST00000262803.10	1
ENSG00000005007.13	6	ENST00000596842.5	1
ENSG00000005007.13	6	ENST00000599848.5	3
ENSG00000005007.13	6	ENST00000600689.1	1
ENSG00000005020.13	260	ENST00000345317.7	260
ENSG00000005022.6	128	ENST00000317881.9	128
ENSG00000005059.16	120	ENST00000394650.7	120
ENSG00000005075.15	16	ENST00000292614.9	16
ENSG00000005100.13	4	ENST00000225296.8	2
ENSG00000005100.13	4	ENST00000574023.1	2
ENSG00000005102.14	2	ENST00000318579.9	2
ENSG00000005156.12	17	ENST00000262327.9	2
ENSG00000005156.12	17	ENST00000378526.9	14
ENSG00000005156.12	17	ENST00000590181.5	1
ENSG00000005175.10	30	ENST00000005386.8	13
ENSG00000005175.10	30	ENST00000380650.4	1
ENSG00000005175.10	30	ENST00000547706.1	1
ENSG00000005175.10	30	ENST00000551293.1	15
ENSG00000005187.12	7	ENST00000289416.10	3
ENSG00000005187.12	7	ENST00000440284.6	1
ENSG00000005187.12	7	ENST00000614721.1	3
ENSG00000005189.19	2	ENST00000348433.10	1
ENSG00000005189.19	2	ENST00000564274.5	1
ENSG00000005194.15	142	ENST00000394391.9	115
ENSG00000005194.15	142	ENST00000567518.5	19
ENSG00000005194.15	142	ENST00000569370.5	6
ENSG00000005194.15	142	ENST00000570000.5	2
ENSG00000005206.17	3	ENST00000613503.5	3
ENSG00000005238.20	22	ENST00000322813.10	4
ENSG00000005238.20	22	ENST00000378557.1	18
ENSG00000005249.13	58	ENST00000265717.5	58
ENSG00000005302.19	136	ENST00000312196.10	37
ENSG00000005302.19	136	ENST00000380693.8	1
ENSG00000005302.19	136	ENST00000482871.6	8
ENSG00000005302.19	136	ENST00000647701.1	1
ENSG00000005302.19	136	ENST00000647839.1	8
ENSG00000005302.19	136	ENST00000647857.1	1
ENSG00000005302.19	136	ENST00000647985.1	6
ENSG00000005302.19	136	ENST00000648013.1	19
ENSG00000005302.19	136	ENST00000649078.1	33
ENSG00000005302.19	136	ENST00000649130.1	1
ENSG00000005302.19	136	ENST00000649271.1	10
ENSG00000005302.19	136	ENST00000649602.1	6
ENSG00000005302.19	136	ENST00000649685.1	2
ENSG00000005302.19	136	ENST00000649797.1	1
ENSG00000005302.19	136	ENST00000649851.1	1
ENSG00000005302.19	136	ENST00000650628.1	1
ENSG00000005339.15	35	ENST00000262367.10	11
ENSG00000005339.15	35	ENST00000382070.7	8
ENSG00000005339.15	35	ENST00000570939.2	2
ENSG00000005339.15	35	ENST00000573672.1	14
ENSG00000005379.17	1	ENST00000578511.5	1
ENSG00000005381.8	4	ENST00000225275.4	4
ENSG00000005436.14	4	ENST00000321027.8	2
ENSG00000005436.14	4	ENST00000470503.1	1
ENSG00000005436.14	4	ENST00000472230.5	1
ENSG00000005448.17	28	ENST00000348227.4	25
ENSG00000005448.17	28	ENST00000480089.5	3
ENSG00000005469.12	11	ENST00000331536.8	7
ENSG00000005469.12	11	ENST00000412227.6	2
ENSG00000005469.12	11	ENST00000419147.6	2
ENSG00000005471.18	2	ENST00000644106.1	1
ENSG00000005471.18	2	ENST00000649586.2	1
ENSG00000005483.21	136	ENST00000257745.8	14
ENSG00000005483.21	136	ENST00000311117.8	5
ENSG00000005483.21	136	ENST00000334884.9	1
ENSG00000005483.21	136	ENST00000476671.5	95
ENSG00000005483.21	136	ENST00000480368.5	1
ENSG00000005483.21	136	ENST00000495267.5	2
ENSG00000005483.21	136	ENST00000622386.1	15
ENSG00000005483.21	136	ENST00000667857.1	3
ENSG00000005486.17	103	ENST00000006777.11	69
ENSG00000005486.17	103	ENST00000318622.8	1
ENSG00000005486.17	103	ENST00000428119.1	3
ENSG00000005486.17	103	ENST00000454791.1	26
ENSG00000005486.17	103	ENST00000467406.2	1
ENSG00000005486.17	103	ENST00000468304.1	3
ENSG00000005700.15	29	ENST00000306270.12	18
ENSG00000005700.15	29	ENST00000445419.6	5
ENSG00000005700.15	29	ENST00000503400.5	2
ENSG00000005700.15	29	ENST00000508381.1	3
ENSG00000005700.15	29	ENST00000510291.5	1
ENSG00000005801.18	5	ENST00000354599.10	5
ENSG00000005810.18	179	ENST00000357337.10	121
ENSG00000005810.18	179	ENST00000429715.1	32
ENSG00000005810.18	179	ENST00000498073.2	19
ENSG00000005810.18	179	ENST00000612956.4	7
ENSG00000005812.11	32	ENST00000355619.10	28
ENSG00000005812.11	32	ENST00000417323.1	4
ENSG00000005844.18	407	ENST00000356798.11	132
ENSG00000005844.18	407	ENST00000358164.9	168
ENSG00000005844.18	407	ENST00000433423.2	77
ENSG00000005844.18	407	ENST00000564632.1	27
ENSG00000005844.18	407	ENST00000566149.1	2
ENSG00000005844.18	407	ENST00000568987.1	1
ENSG00000005882.12	17	ENST00000503176.6	10
ENSG00000005882.12	17	ENST00000506647.1	1
ENSG00000005882.12	17	ENST00000508960.1	1
ENSG00000005882.12	17	ENST00000512204.5	3
ENSG00000005882.12	17	ENST00000614357.4	2
ENSG00000005889.15	4	ENST00000304543.9	3
ENSG00000005889.15	4	ENST00000338565.3	1
ENSG00000005893.16	272	ENST00000200639.9	256
ENSG00000005893.16	272	ENST00000371335.4	13
ENSG00000005893.16	272	ENST00000486593.5	3
ENSG00000005961.19	162	ENST00000262407.6	159
ENSG00000005961.19	162	ENST00000592462.5	1
ENSG00000005961.19	162	ENST00000648408.1	2
ENSG00000006007.12	40	ENST00000353258.8	16
ENSG00000006007.12	40	ENST00000563645.1	7
ENSG00000006007.12	40	ENST00000564172.1	17
ENSG00000006015.17	10	ENST00000358607.10	1
ENSG00000006015.17	10	ENST00000597371.1	9
ENSG00000006025.12	8	ENST00000007414.8	2
ENSG00000006025.12	8	ENST00000578461.1	1
ENSG00000006025.12	8	ENST00000583167.5	5
ENSG00000006062.17	35	ENST00000344686.8	25
ENSG00000006062.17	35	ENST00000376926.8	4
ENSG00000006062.17	35	ENST00000586644.2	4
ENSG00000006062.17	35	ENST00000592267.1	2
ENSG00000006125.18	122	ENST00000590538.5	1
ENSG00000006125.18	122	ENST00000610402.5	28
ENSG00000006125.18	122	ENST00000612116.5	9
ENSG00000006125.18	122	ENST00000618940.4	13
ENSG00000006125.18	122	ENST00000620039.4	4
ENSG00000006125.18	122	ENST00000621914.4	67
ENSG00000006194.10	17	ENST00000219069.6	6
ENSG00000006194.10	17	ENST00000574253.1	4
ENSG00000006194.10	17	ENST00000575823.1	7
ENSG00000006282.21	22	ENST00000006658.11	1
ENSG00000006282.21	22	ENST00000503127.5	1
ENSG00000006282.21	22	ENST00000634597.1	20
ENSG00000006327.14	10	ENST00000326577.9	10
ENSG00000006432.15	2	ENST00000611979.4	2
ENSG00000006451.8	22	ENST00000005257.7	22
ENSG00000006459.11	6	ENST00000397560.7	6
ENSG00000006530.18	26	ENST00000473247.5	1
ENSG00000006530.18	26	ENST00000495028.5	6
ENSG00000006530.18	26	ENST00000496784.1	3
ENSG00000006530.18	26	ENST00000647898.1	1
ENSG00000006530.18	26	ENST00000648068.1	8
ENSG00000006530.18	26	ENST00000649286.2	7
ENSG00000006534.16	189	ENST00000342456.11	170
ENSG00000006534.16	189	ENST00000612297.4	17
ENSG00000006534.16	189	ENST00000617288.4	1
ENSG00000006534.16	189	ENST00000619675.4	1
ENSG00000006555.11	2	ENST00000371276.9	2
ENSG00000006576.16	2	ENST00000424760.5	1
ENSG00000006576.16	2	ENST00000470215.1	1
ENSG00000006607.14	15	ENST00000470617.1	1
ENSG00000006607.14	15	ENST00000627550.2	14
ENSG00000006625.18	9	ENST00000275428.9	9
ENSG00000006634.8	9	ENST00000265728.6	4
ENSG00000006634.8	9	ENST00000431138.5	4
ENSG00000006634.8	9	ENST00000498144.5	1
ENSG00000006638.13	2	ENST00000375190.10	1
ENSG00000006638.13	2	ENST00000411851.3	1
ENSG00000006652.15	46	ENST00000005558.8	3
ENSG00000006652.15	46	ENST00000403825.8	15
ENSG00000006652.15	46	ENST00000489994.5	6
ENSG00000006652.15	46	ENST00000535603.5	16
ENSG00000006652.15	46	ENST00000621379.4	3
ENSG00000006652.15	46	ENST00000675041.1	3
ENSG00000006695.12	108	ENST00000261643.8	106
ENSG00000006695.12	108	ENST00000581931.5	2
ENSG00000006712.15	6	ENST00000221265.8	6
ENSG00000006715.16	64	ENST00000310301.9	42
ENSG00000006715.16	64	ENST00000395969.6	18
ENSG00000006715.16	64	ENST00000448833.5	1
ENSG00000006715.16	64	ENST00000482217.1	3
ENSG00000006744.19	488	ENST00000338034.9	457
ENSG00000006744.19	488	ENST00000395962.6	3
ENSG00000006744.19	488	ENST00000426905.7	17
ENSG00000006744.19	488	ENST00000465825.5	5
ENSG00000006744.19	488	ENST00000480891.5	4
ENSG00000006744.19	488	ENST00000487229.6	2
ENSG00000006756.16	13	ENST00000217890.10	2
ENSG00000006756.16	13	ENST00000381154.6	6
ENSG00000006756.16	13	ENST00000458014.1	4
ENSG00000006756.16	13	ENST00000494870.5	1
ENSG00000006757.12	4	ENST00000381042.9	1
ENSG00000006757.12	4	ENST00000444736.5	3
ENSG00000006831.10	3	ENST00000357103.5	3
ENSG00000006837.12	1	ENST00000520693.5	1
ENSG00000007038.11	3	ENST00000005995.8	3
ENSG00000007047.15	3	ENST00000262891.9	1
ENSG00000007047.15	3	ENST00000300843.8	1
ENSG00000007047.15	3	ENST00000620044.4	1
ENSG00000007080.11	116	ENST00000445755.7	100
ENSG00000007080.11	116	ENST00000597436.5	15
ENSG00000007080.11	116	ENST00000602080.1	1
ENSG00000007129.18	6	ENST00000187608.13	5
ENSG00000007129.18	6	ENST00000407170.6	1
ENSG00000007168.14	241	ENST00000397193.7	1
ENSG00000007168.14	241	ENST00000397195.10	203
ENSG00000007168.14	241	ENST00000610190.2	2
ENSG00000007168.14	241	ENST00000674608.1	1
ENSG00000007168.14	241	ENST00000674717.1	1
ENSG00000007168.14	241	ENST00000675390.1	6
ENSG00000007168.14	241	ENST00000675430.1	5
ENSG00000007168.14	241	ENST00000675764.1	2
ENSG00000007168.14	241	ENST00000676353.1	20
ENSG00000007202.15	3	ENST00000389003.7	1
ENSG00000007202.15	3	ENST00000544884.5	1
ENSG00000007202.15	3	ENST00000577261.1	1
ENSG00000007237.18	33	ENST00000432992.6	1
ENSG00000007237.18	33	ENST00000578456.1	2
ENSG00000007237.18	33	ENST00000579158.5	8
ENSG00000007237.18	33	ENST00000580043.1	4
ENSG00000007237.18	33	ENST00000580865.5	5
ENSG00000007237.18	33	ENST00000581112.5	2
ENSG00000007237.18	33	ENST00000585266.5	11
ENSG00000007255.10	14	ENST00000006275.8	5
ENSG00000007255.10	14	ENST00000585934.1	4
ENSG00000007255.10	14	ENST00000588062.5	1
ENSG00000007255.10	14	ENST00000592647.1	4
ENSG00000007264.15	29	ENST00000310132.11	21
ENSG00000007264.15	29	ENST00000395040.6	5
ENSG00000007264.15	29	ENST00000585778.5	3
ENSG00000007312.13	86	ENST00000006750.8	40
ENSG00000007312.13	86	ENST00000349817.2	2
ENSG00000007312.13	86	ENST00000392795.7	42
ENSG00000007312.13	86	ENST00000559358.1	2
ENSG00000007341.19	6	ENST00000369669.5	1
ENSG00000007341.19	6	ENST00000473206.5	5
ENSG00000007350.17	9	ENST00000369912.2	6
ENSG00000007350.17	9	ENST00000463884.1	3
ENSG00000007376.8	8	ENST00000007264.7	2
ENSG00000007376.8	8	ENST00000565377.1	3
ENSG00000007376.8	8	ENST00000567283.5	2
ENSG00000007376.8	8	ENST00000569601.5	1
ENSG00000007392.17	30	ENST00000293872.13	11
ENSG00000007392.17	30	ENST00000397783.5	3
ENSG00000007392.17	30	ENST00000418978.5	1
ENSG00000007392.17	30	ENST00000419516.5	1
ENSG00000007392.17	30	ENST00000464711.5	2
ENSG00000007392.17	30	ENST00000468732.5	2
ENSG00000007392.17	30	ENST00000495349.5	1
ENSG00000007392.17	30	ENST00000629543.2	9
ENSG00000007516.14	9	ENST00000421665.6	8
ENSG00000007516.14	9	ENST00000426824.8	1
ENSG00000007520.4	7	ENST00000007390.3	7
ENSG00000007541.17	30	ENST00000026218.9	1
ENSG00000007541.17	30	ENST00000321878.10	23
ENSG00000007541.17	30	ENST00000443147.5	1
ENSG00000007541.17	30	ENST00000476438.1	1
ENSG00000007541.17	30	ENST00000540241.1	1
ENSG00000007541.17	30	ENST00000635909.1	1
ENSG00000007541.17	30	ENST00000636005.1	1
ENSG00000007541.17	30	ENST00000636657.1	1
ENSG00000007923.16	96	ENST00000294401.11	4
ENSG00000007923.16	96	ENST00000377577.10	71
ENSG00000007923.16	96	ENST00000460594.5	18
ENSG00000007923.16	96	ENST00000465508.5	2
ENSG00000007923.16	96	ENST00000473993.5	1
ENSG00000007944.15	49	ENST00000349606.4	19
ENSG00000007944.15	49	ENST00000356840.8	30
ENSG00000008018.9	45	ENST00000262193.7	41
ENSG00000008018.9	45	ENST00000462957.1	4
ENSG00000008083.14	117	ENST00000341776.7	22
ENSG00000008083.14	117	ENST00000397311.4	95
ENSG00000008128.23	24	ENST00000356937.7	3
ENSG00000008128.23	24	ENST00000358779.9	2
ENSG00000008128.23	24	ENST00000378633.5	1
ENSG00000008128.23	24	ENST00000378638.6	11
ENSG00000008128.23	24	ENST00000404249.8	2
ENSG00000008128.23	24	ENST00000479362.1	2
ENSG00000008128.23	24	ENST00000509982.5	3
ENSG00000008130.15	124	ENST00000341426.9	34
ENSG00000008130.15	124	ENST00000341991.7	1
ENSG00000008130.15	124	ENST00000342348.9	67
ENSG00000008130.15	124	ENST00000497747.5	2
ENSG00000008130.15	124	ENST00000498806.1	20
ENSG00000008226.20	2	ENST00000346219.7	1
ENSG00000008226.20	2	ENST00000440294.6	1
ENSG00000008282.8	76	ENST00000011473.6	1
ENSG00000008282.8	76	ENST00000455385.6	75
ENSG00000008283.16	15	ENST00000360793.8	7
ENSG00000008283.16	15	ENST00000581573.5	1
ENSG00000008283.16	15	ENST00000582034.5	1
ENSG00000008283.16	15	ENST00000582143.1	1
ENSG00000008283.16	15	ENST00000582997.5	5
ENSG00000008294.21	20	ENST00000357122.8	5
ENSG00000008294.21	20	ENST00000505173.5	1
ENSG00000008294.21	20	ENST00000505279.5	10
ENSG00000008294.21	20	ENST00000506500.1	1
ENSG00000008294.21	20	ENST00000510283.5	2
ENSG00000008294.21	20	ENST00000514613.5	1
ENSG00000008324.12	4	ENST00000011691.6	4
ENSG00000008382.16	2	ENST00000599840.6	2
ENSG00000008394.13	6	ENST00000396210.8	6
ENSG00000008405.12	20	ENST00000008527.10	20
ENSG00000008438.5	24	ENST00000008938.5	24
ENSG00000008441.17	2	ENST00000587260.1	2
ENSG00000008513.16	254	ENST00000517668.5	1
ENSG00000008513.16	254	ENST00000521180.5	80
ENSG00000008513.16	254	ENST00000522652.6	61
ENSG00000008513.16	254	ENST00000648219.1	112
ENSG00000008516.17	1	ENST00000336577.9	1
ENSG00000008517.18	209	ENST00000008180.13	13
ENSG00000008517.18	209	ENST00000325568.9	4
ENSG00000008517.18	209	ENST00000396890.6	40
ENSG00000008517.18	209	ENST00000444393.7	21
ENSG00000008517.18	209	ENST00000525228.5	1
ENSG00000008517.18	209	ENST00000525643.7	77
ENSG00000008517.18	209	ENST00000526464.6	17
ENSG00000008517.18	209	ENST00000528652.2	3
ENSG00000008517.18	209	ENST00000530538.6	6
ENSG00000008517.18	209	ENST00000530890.5	2
ENSG00000008517.18	209	ENST00000533097.6	10
ENSG00000008517.18	209	ENST00000548476.5	12
ENSG00000008517.18	209	ENST00000552664.5	2
ENSG00000008517.18	209	ENST00000552936.5	1
ENSG00000008710.20	3	ENST00000472577.1	2
ENSG00000008710.20	3	ENST00000486339.6	1
ENSG00000008838.20	30	ENST00000394126.5	9
ENSG00000008838.20	30	ENST00000394128.7	1
ENSG00000008838.20	30	ENST00000501516.7	20
ENSG00000008869.12	92	ENST00000233099.6	92
ENSG00000008952.17	25	ENST00000337002.9	17
ENSG00000008952.17	25	ENST00000469890.1	1
ENSG00000008952.17	25	ENST00000470355.1	1
ENSG00000008952.17	25	ENST00000480708.5	4
ENSG00000008952.17	25	ENST00000497277.1	2
ENSG00000008988.10	11	ENST00000009589.8	4
ENSG00000008988.10	11	ENST00000518875.5	2
ENSG00000008988.10	11	ENST00000519369.1	2
ENSG00000008988.10	11	ENST00000519807.5	1
ENSG00000008988.10	11	ENST00000521262.5	1
ENSG00000008988.10	11	ENST00000618656.1	1
ENSG00000009307.16	306	ENST00000261443.9	18
ENSG00000009307.16	306	ENST00000339438.10	111
ENSG00000009307.16	306	ENST00000358528.9	10
ENSG00000009307.16	306	ENST00000438362.6	157
ENSG00000009307.16	306	ENST00000483407.1	10
ENSG00000009335.18	23	ENST00000348165.10	13
ENSG00000009335.18	23	ENST00000470408.5	7
ENSG00000009335.18	23	ENST00000474153.1	2
ENSG00000009335.18	23	ENST00000497368.1	1
ENSG00000009413.16	1	ENST00000434009.5	1
ENSG00000009790.15	549	ENST00000367023.5	60
ENSG00000009790.15	549	ENST00000367024.5	30
ENSG00000009790.15	549	ENST00000367025.8	292
ENSG00000009790.15	549	ENST00000367026.7	70
ENSG00000009790.15	549	ENST00000400959.7	17
ENSG00000009790.15	549	ENST00000467830.1	10
ENSG00000009790.15	549	ENST00000471368.1	4
ENSG00000009790.15	549	ENST00000476050.5	5
ENSG00000009790.15	549	ENST00000477431.1	3
ENSG00000009790.15	549	ENST00000478359.5	57
ENSG00000009790.15	549	ENST00000488702.1	1
ENSG00000009844.16	251	ENST00000367621.1	4
ENSG00000009844.16	251	ENST00000367630.9	230
ENSG00000009844.16	251	ENST00000620996.4	17
ENSG00000009954.11	7	ENST00000339594.9	4
ENSG00000009954.11	7	ENST00000404251.1	3
ENSG00000010017.13	12	ENST00000011619.6	10
ENSG00000010017.13	12	ENST00000469916.1	2
ENSG00000010030.14	13	ENST00000339796.9	2
ENSG00000010030.14	13	ENST00000340181.9	10
ENSG00000010030.14	13	ENST00000620358.4	1
ENSG00000010072.16	17	ENST00000295050.12	15
ENSG00000010072.16	17	ENST00000391858.8	2
ENSG00000010165.20	37	ENST00000361735.4	14
ENSG00000010165.20	37	ENST00000362019.7	14
ENSG00000010165.20	37	ENST00000367737.9	7
ENSG00000010165.20	37	ENST00000466643.1	2
ENSG00000010219.13	3	ENST00000010132.6	2
ENSG00000010219.13	3	ENST00000544050.1	1
ENSG00000010244.18	156	ENST00000321233.10	2
ENSG00000010244.18	156	ENST00000342555.10	5
ENSG00000010244.18	156	ENST00000394670.8	42
ENSG00000010244.18	156	ENST00000394673.6	86
ENSG00000010244.18	156	ENST00000577324.1	1
ENSG00000010244.18	156	ENST00000577908.5	12
ENSG00000010244.18	156	ENST00000579810.2	2
ENSG00000010244.18	156	ENST00000581531.5	6
ENSG00000010256.11	675	ENST00000203407.6	655
ENSG00000010256.11	675	ENST00000415995.5	15
ENSG00000010256.11	675	ENST00000463708.1	4
ENSG00000010256.11	675	ENST00000467690.5	1
ENSG00000010270.13	46	ENST00000009041.11	32
ENSG00000010270.13	46	ENST00000396013.5	8
