gene.id,chr,start,end,length,mean,median,sd,q0,q25,q50,q75,q100
ENSG00000230368.2,chr1,868070,876903,8833,2.09,2,0.9,2,2,2,2,15
ENSG00000234711.1,chr1,873291,874349,1058,2,2,0,2,2,2,2,2
ENSG00000283040.1,chr1,874528,877234,2706,2,2,0,2,2,2,2,2
ENSG00000272438.1,chr1,904833,915976,11143,2,2,0,2,2,2,2,2
ENSG00000230699.2,chr1,911434,914948,3514,2,2,0,2,2,2,2,2
ENSG00000241180.1,chr1,914170,914971,801,2,2,0,2,2,2,2,2
ENSG00000223764.2,chr1,916864,921016,4152,2,2,0,2,2,2,2,2
ENSG00000187634.12,chr1,923927,944581,20654,2.5,2,3.86,2,2,2,2,46
ENSG00000188976.11,chr1,944202,959309,15107,58.95,65,15.06,2,48,65,72,99
ENSG00000187961.14,chr1,960583,965719,5136,13.64,14,4.81,2,11,14,17,28
ENSG00000187583.11,chr1,966481,975865,9384,3.1,3,1.38,2,2,3,4,9
ENSG00000187642.9,chr1,975203,982093,6890,2.05,2,0.21,2,2,2,2,3
ENSG00000272512.1,chr1,995965,998051,2086,2.23,2,0.42,2,2,2,2,3
ENSG00000188290.11,chr1,998961,1000172,1211,19.38,19,8.13,2,16,19,26,38
ENSG00000187608.10,chr1,1001137,1014540,13403,14.51,2,47.3,1,1,2,2,237
ENSG00000231702.2,chr1,1008075,1008229,154,1,1,0,1,1,1,1,1
ENSG00000224969.1,chr1,1011996,1013193,1197,1.08,1,0.28,1,1,1,1,2
ENSG00000188157.15,chr1,1020119,1056118,35999,4.18,4,1.73,1,3,4,5,12
ENSG00000242590.1,chr1,1055032,1056116,1084,3.86,4,1.6,1,3,4,5,8
ENSG00000217801.10,chr1,1059707,1069355,9648,2.86,2,1.9,1,1,2,4,9
ENSG00000273443.1,chr1,1062207,1063288,1081,NaN,,,,,,,
ENSG00000237330.3,chr1,1070966,1074306,3340,1,1,0,1,1,1,1,1
ENSG00000131591.17,chr1,1081817,1116361,34544,5,3,3.3,1,3,3,6,20
ENSG00000285812.1,chr1,1097584,1104598,7014,3.3,3,0.75,3,3,3,3,7
ENSG00000223823.1,chr1,1137016,1144056,7040,1.54,2,0.52,1,1,2,2,3
ENSG00000207730.3,chr1,1167103,1167198,95,1,1,0,1,1,1,1,1
ENSG00000207607.3,chr1,1167862,1167952,90,1.31,1,0.47,1,1,1,2,2
ENSG00000198976.1,chr1,1169004,1169087,83,1,1,0,1,1,1,1,1
ENSG00000272141.1,chr1,1169356,1170343,987,1,1,0,1,1,1,1,1
ENSG00000205231.1,chr1,1173055,1179555,6500,1.02,1,0.13,1,1,1,1,2
ENSG00000162571.14,chr1,1173879,1197936,24057,1.02,1,0.14,1,1,1,1,2
ENSG00000186891.14,chr1,1203507,1206592,3085,10.28,10,2.58,1,9,10,12,17
ENSG00000186827.11,chr1,1211339,1214153,2814,14.54,13,6.04,1,10,13,21,25
ENSG00000078808.18,chr1,1216907,1232067,15160,206.1,216,29.27,1,200,216,217,290
ENSG00000176022.7,chr1,1232236,1235041,2805,21.84,22,9.7,1,14,22,29,42
ENSG00000184163.3,chr1,1242445,1246722,4277,2.35,2,1.55,1,1,2,4,7
ENSG00000260179.1,chr1,1249776,1251334,1558,1.46,1,0.84,1,1,1,2,4
ENSG00000160087.21,chr1,1253908,1273864,19956,103.99,108,21.95,2,99,108,117,140
ENSG00000230415.1,chr1,1275222,1280420,5198,2.19,2,1.19,1,1,2,3,7
ENSG00000162572.21,chr1,1280435,1292029,11594,4.19,4,2.71,1,2,4,6,12
ENSG00000131584.19,chr1,1292389,1309609,17220,47.99,48,18.85,1,41,48,57,101
ENSG00000278073.1,chr1,1296109,1296170,61,49.03,49,0.25,49,49,49,49,51
ENSG00000169972.12,chr1,1308596,1311677,3081,21.81,23,7.2,1,17,23,26,57
ENSG00000127054.21,chr1,1311584,1324687,13103,103.25,103,26.77,2,86,103,106,195
ENSG00000283712.1,chr1,1312501,1312566,65,80.83,80,2.12,79,79,80,81.75,88
ENSG00000240731.1,chr1,1317580,1318689,1109,84.59,83,7.43,74,79,83,87,106
ENSG00000224051.7,chr1,1324755,1328896,4141,39.47,41,8.83,1,39,41,43,60
ENSG00000169962.5,chr1,1331279,1335314,4035,3.52,3,2.26,1,2,3,4,14
ENSG00000107404.20,chr1,1335275,1349418,14143,34.66,39,9.47,1,30,39,39,70
ENSG00000284372.1,chr1,1339649,1339708,59,31.05,31,1.36,30,30,31,31,34
ENSG00000162576.17,chr1,1352688,1361777,9089,3.67,3,2.39,1,2,3,5,13
ENSG00000175756.13,chr1,1373729,1375495,1766,166.5,186,57.44,1,134.75,186,198,307
ENSG00000223663.2,chr1,1378665,1379032,367,2,2,0,2,2,2,2,2
ENSG00000221978.12,chr1,1385710,1399335,13625,116.14,123,43.24,2,89,123,160,223
ENSG00000224870.7,chr1,1399519,1402046,2527,40.16,41,14.19,4,28,41,52,78
ENSG00000242485.6,chr1,1401908,1407293,5385,160.35,160,29.67,5,150,160,179,233
ENSG00000264293.2,chr1,1405459,1405752,293,159.65,160,3.61,152,158,160,162,167
ENSG00000272455.1,chr1,1409095,1410618,1523,5.49,5,1.91,2,4,5,7,10
ENSG00000235098.8,chr1,1418419,1421769,3350,2.51,2,0.83,2,2,2,3,4
ENSG00000225905.1,chr1,1420244,1422691,2447,2,2,0,2,2,2,2,2
ENSG00000205116.3,chr1,1426127,1427787,1660,2,2,0,2,2,2,2,2
ENSG00000225285.1,chr1,1430538,1434573,4035,2,2,0,2,2,2,2,2
ENSG00000179403.12,chr1,1434860,1442882,8022,2,2,0,2,2,2,2,2
ENSG00000215915.10,chr1,1449688,1470163,20475,2.69,2,1.65,2,2,2,3,20
ENSG00000160072.20,chr1,1471764,1497848,26084,24.89,20,15.15,2,15,20,43,64
ENSG00000284740.1,chr1,1503249,1509452,6203,4.38,5,0.93,3,3,5,5,7
ENSG00000197785.14,chr1,1512161,1534685,22524,30.2,30,6.76,3,26,30,37,70
ENSG00000205090.9,chr1,1534777,1540624,5847,3.43,3,0.87,3,3,3,4,7
ENSG00000160075.12,chr1,1541672,1574863,33191,288.95,305,55.48,5,230,305,307,532
ENSG00000215014.5,chr1,1574101,1577075,2974,50.21,4,85.9,3,3,4,22,275
ENSG00000274481.1,chr1,1583509,1583909,400,3,3,0,3,3,3,3,3
ENSG00000228594.4,chr1,1598011,1600135,2124,10.33,10,4.58,3,7,10,14,20
ENSG00000286989.1,chr1,1600313,1602703,2390,5.03,5,1.2,3,4,5,6,8
ENSG00000272106.1,chr1,1613757,1615795,2038,10.78,10,4.69,3,7,10,13,27
ENSG00000197530.12,chr1,1615414,1630610,15196,49.36,46,12.55,9,44,46,57,99
ENSG00000189409.14,chr1,1632162,1635263,3101,9.68,7,6.02,4,5,7,13,28
ENSG00000248333.8,chr1,1635226,1659012,23786,96.62,104,26.05,4,79,104,111,167
ENSG00000272004.1,chr1,1659324,1662602,3278,113.72,113,13,91,102,113,126,138
ENSG00000189339.12,chr1,1659528,1692795,33267,120.22,129,27.48,52,100,129,146,181
ENSG00000269737.2,chr1,1671989,1674397,2408,128.57,129,0.79,127,128.5,129,129,129
ENSG00000215914.4,chr1,1699941,1701782,1841,32.34,32,3.54,25,30,32,35,43
ENSG00000008128.23,chr1,1702378,1724357,21979,108.42,105,27.26,25,97,105,133,177
ENSG00000268575.1,chr1,1702735,1737688,34953,86.82,101,43.42,13,36,101,123,177
ENSG00000227775.3,chr1,1724511,1737251,12740,27.48,26,7.5,13,22,26,31,51
ENSG00000215790.7,chr1,1724837,1745999,21162,27.89,28,6.59,13,25,28,29,94
ENSG00000008130.15,chr1,1751231,1780457,29226,340.86,388,171.26,11,178.5,388,458,621
ENSG00000078369.18,chr1,1785284,1891117,105833,268.22,276,43.24,4,276,276,276,289
ENSG00000231050.1,chr1,1891470,1892658,1188,4.26,4,0.57,4,4,4,4,7
ENSG00000169885.10,chr1,1915107,1917296,2189,3.07,3,0.74,2,3,3,4,4
ENSG00000178821.13,chr1,1917589,1919279,1690,2.32,2,0.93,2,2,2,2,5
ENSG00000142609.18,chr1,1921950,2003837,81887,1.81,2,0.39,1,2,2,2,2
ENSG00000233542.2,chr1,2013212,2015639,2427,1,1,0,1,1,1,1,1
ENSG00000187730.9,chr1,2019328,2030758,11430,1.14,1,0.5,1,1,1,1,5
ENSG00000226969.1,chr1,2049202,2050070,868,1,1,0,1,1,1,1,1
ENSG00000067606.17,chr1,2050410,2185395,134985,26.91,24,8.16,1,23,24,31,75
ENSG00000271806.1,chr1,2141083,2145279,4196,29.1,31,4.05,21,31,31,31,37
ENSG00000182873.5,chr1,2181793,2184389,2596,50.42,50,4.48,40,48,50,53,65
ENSG00000162585.17,chr1,2184460,2212720,28260,15.78,2,25.4,1,1,2,10,98
ENSG00000234396.3,chr1,2212522,2220738,8216,1.08,1,0.28,1,1,1,1,2
ENSG00000157933.10,chr1,2228318,2310213,81895,54.44,51,15.96,1,50,51,53,162
ENSG00000287356.1,chr1,2315039,2323085,8046,1.42,1,0.73,1,1,1,2,4
ENSG00000116151.14,chr1,2321252,2391707,70455,5.98,6,1.91,1,5,6,7,13
ENSG00000272161.1,chr1,2326200,2326693,493,5,5,0,5,5,5,5,5
ENSG00000269896.2,chr1,2350413,2352820,2407,8.99,9,1.47,7,8,9,10,13
ENSG00000272420.1,chr1,2363060,2363628,568,5.86,6,1.52,4,5,6,7,9
ENSG00000157916.20,chr1,2391774,2405442,13668,NaN,,,,,,,
ENSG00000157911.11,chr1,2403963,2413797,9834,NaN,,,,,,,
ENSG00000149527.18,chr1,2425979,2505532,79553,NaN,,,,,,,
ENSG00000224387.1,chr1,2492299,2493258,959,NaN,,,,,,,
ENSG00000229393.1,chr1,2493436,2494479,1043,NaN,,,,,,,
ENSG00000157881.16,chr1,2508536,2526597,18061,NaN,,,,,,,
ENSG00000197921.6,chr1,2528744,2530263,1519,NaN,,,,,,,
ENSG00000272449.2,chr1,2530063,2547460,17397,NaN,,,,,,,
ENSG00000238164.6,chr1,2549919,2557031,7112,NaN,,,,,,,
ENSG00000157873.17,chr1,2555638,2565382,9744,NaN,,,,,,,
ENSG00000225931.3,chr1,2566409,2569888,3479,NaN,,,,,,,
ENSG00000228037.1,chr1,2581559,2584533,2974,NaN,,,,,,,
ENSG00000157870.17,chr1,2586490,2591469,4979,NaN,,,,,,,
ENSG00000142606.16,chr1,2590638,2633016,42378,NaN,,,,,,,
ENSG00000237058.1,chr1,2632567,2636620,4053,NaN,,,,,,,
ENSG00000215912.12,chr1,2635975,2801717,165742,NaN,,,,,,,
ENSG00000285945.1,chr1,2768090,2784733,16643,NaN,,,,,,,
ENSG00000283259.1,chr1,2773602,2776473,2871,NaN,,,,,,,
ENSG00000233234.1,chr1,2811849,2812692,843,NaN,,,,,,,
ENSG00000287396.1,chr1,2814055,2817767,3712,NaN,,,,,,,
ENSG00000231630.1,chr1,2814431,2814998,567,NaN,,,,,,,
ENSG00000284745.1,chr1,2960657,2968707,8050,NaN,,,,,,,
ENSG00000169717.7,chr1,3021466,3022903,1437,NaN,,,,,,,
ENSG00000177133.11,chr1,3059614,3068437,8823,NaN,,,,,,,
ENSG00000142611.17,chr1,3069167,3438621,369454,NaN,,,,,,,
ENSG00000283572.1,chr1,3127974,3128035,61,NaN,,,,,,,
ENSG00000226286.1,chr1,3132926,3133709,783,NaN,,,,,,,
ENSG00000279839.1,chr1,3205987,3208664,2677,NaN,,,,,,,
ENSG00000272235.1,chr1,3306635,3310096,3461,NaN,,,,,,,
ENSG00000287828.1,chr1,3313051,3323149,10098,NaN,,,,,,,
ENSG00000286518.1,chr1,3367814,3373928,6114,NaN,,,,,,,
ENSG00000130762.15,chr1,3454664,3481113,26449,NaN,,,,,,,
ENSG00000272088.1,chr1,3487245,3487627,382,NaN,,,,,,,
ENSG00000162591.16,chr1,3487950,3611508,123558,NaN,,,,,,,
ENSG00000207776.1,chr1,3560694,3560790,96,NaN,,,,,,,
ENSG00000238260.1,chr1,3623189,3624743,1554,NaN,,,,,,,
ENSG00000158109.15,chr1,3625014,3630127,5113,NaN,,,,,,,
ENSG00000116213.16,chr1,3630766,3652761,21995,NaN,,,,,,,
ENSG00000078900.15,chr1,3652515,3736201,83686,NaN,,,,,,,
ENSG00000227589.1,chr1,3658937,3668772,9835,NaN,,,,,,,
ENSG00000235131.1,chr1,3712199,3714298,2099,NaN,,,,,,,
ENSG00000227372.12,chr1,3735510,3747373,11863,23.34,25,9,2,15,25,29,49
ENSG00000276189.1,chr1,3736942,3737103,161,NaN,,,,,,,
ENSG00000162592.10,chr1,3746459,3771645,25186,9.05,9,8.01,1,1,9,15,30
ENSG00000235169.10,chr1,3772654,3775982,3328,13.05,13,2.55,1,13,13,13,24
ENSG00000130764.10,chr1,3778558,3796498,17940,67.74,82,21.95,1,57,82,82,110
ENSG00000266075.2,chr1,3782814,3783111,297,47.57,48,0.5,47,47,48,48,48
ENSG00000272153.1,chr1,3785007,3785538,531,63.65,62,7.19,54,58,62,67,80
ENSG00000116198.14,chr1,3812085,3857396,45311,28.54,34,12.11,1,16,34,36,55
ENSG00000169598.17,chr1,3857266,3885429,28163,13.3,13,0.56,12,13,13,14,15
ENSG00000198912.11,chr1,3889124,3900293,11169,50.87,50,6.16,1,49,50,51,91
ENSG00000236423.6,chr1,3900351,3917225,16874,1.26,1,0.61,1,1,1,1,4
ENSG00000233304.7,chr1,3940485,3955262,14777,NaN,,,,,,,
ENSG00000226374.3,chr1,3944546,3949024,4478,NaN,,,,,,,
ENSG00000284668.2,chr1,3976132,4012704,36572,NaN,,,,,,,
ENSG00000284703.1,chr1,4012920,4019508,6588,1,1,0,1,1,1,1,1
ENSG00000229280.1,chr1,4175527,4175899,372,NaN,,,,,,,
ENSG00000235054.4,chr1,4412026,4424689,12663,NaN,,,,,,,
ENSG00000284694.1,chr1,4479130,4484375,5245,NaN,,,,,,,
ENSG00000227169.2,chr1,4551734,4552145,411,NaN,,,,,,,
ENSG00000232596.3,chr1,4571480,4594016,22536,NaN,,,,,,,
ENSG00000196581.11,chr1,4654608,4792534,137926,4.23,4,1.12,1,4,4,4,16
ENSG00000287586.1,chr1,4730210,4734992,4782,6.95,6,2.02,4,6,6,8,16
ENSG00000284739.1,chr1,4963953,4973298,9345,NaN,,,,,,,
ENSG00000284674.1,chr1,4973380,4981568,8188,NaN,,,,,,,
ENSG00000231510.1,chr1,5086458,5090899,4441,NaN,,,,,,,
ENSG00000284616.1,chr1,5301927,5307394,5467,NaN,,,,,,,
ENSG00000284692.2,chr1,5478735,5493057,14322,NaN,,,,,,,
ENSG00000284666.1,chr1,5480786,5482028,1242,NaN,,,,,,,
ENSG00000260972.1,chr1,5492977,5494674,1697,NaN,,,,,,,
ENSG00000283356.1,chr1,5554746,5554881,135,NaN,,,,,,,
ENSG00000236948.2,chr1,5561708,5668295,106587,1.27,1,0.44,1,1,1,2,2
ENSG00000264341.1,chr1,5564070,5564143,73,NaN,,,,,,,
ENSG00000264101.1,chr1,5862671,5862741,70,1,1,0,1,1,1,1,1
ENSG00000131697.18,chr1,5862810,5992473,129663,10.41,10,3.46,1,8,10,13,26
ENSG00000069424.15,chr1,5990926,6101193,110267,135.05,170,72.73,1,46,170,190,253
ENSG00000116254.18,chr1,6101786,6180321,78535,1.11,1,0.37,1,1,1,1,3
ENSG00000285629.1,chr1,6159429,6197757,38328,675.46,1,1111.21,1,1,1,1695,3472
ENSG00000116251.11,chr1,6185019,6209389,24370,1138.72,989,1200.86,1,2,989,1697,3472
ENSG00000226944.1,chr1,6204839,6205780,941,2.14,2,0.34,2,2,2,2,3
ENSG00000158286.13,chr1,6205474,6221299,15825,3.04,3,1.11,1,2,3,4,9
ENSG00000116237.16,chr1,6221192,6235972,14780,31,33,10.85,1,23,33,41,47
ENSG00000225077.3,chr1,6234691,6239444,4753,24.49,25,5.28,1,25,25,27,34
ENSG00000173673.8,chr1,6244178,6245578,1400,NaN,,,,,,,
ENSG00000158292.7,chr1,6247352,6261098,13746,3.82,3,2.66,1,2,3,5,15
ENSG00000097021.19,chr1,6264268,6394391,130123,8.23,8,3.28,1,5,8,11,22
ENSG00000271746.1,chr1,6393554,6394391,837,2.43,2,1.49,1,1,2,3,6
ENSG00000069812.11,chr1,6412417,6424670,12253,NaN,,,,,,,
ENSG00000187017.17,chr1,6424775,6461367,36592,4.86,5,4.41,1,3,5,6,78
ENSG00000265392.1,chr1,6429833,6429896,63,6,6,0,6,6,6,6,6
ENSG00000231868.1,chr1,6443033,6447006,3973,2.56,2,1.27,1,1,2,4,5
ENSG00000215788.11,chr1,6460785,6466175,5390,78.85,89,35.28,1,74,89,101,125
ENSG00000171680.23,chr1,6467121,6520074,52953,NaN,,,,,,,
ENSG00000162408.11,chr1,6521346,6554513,33167,NaN,,,,,,,
ENSG00000253022.1,chr1,6540853,6540964,111,NaN,,,,,,,
ENSG00000229519.2,chr1,6547904,6548619,715,NaN,,,,,,,
ENSG00000173662.21,chr1,6555306,6579755,24449,NaN,,,,,,,
ENSG00000204859.13,chr1,6579993,6589280,9287,NaN,,,,,,,
ENSG00000162413.16,chr1,6590723,6614607,23884,NaN,,,,,,,
ENSG00000116273.6,chr1,6613730,6624030,10300,NaN,,,,,,,
ENSG00000041988.15,chr1,6624865,6635586,10721,NaN,,,,,,,
ENSG00000007923.16,chr1,6634167,6701924,67757,NaN,,,,,,,
ENSG00000228750.7,chr1,6724636,6730012,5376,NaN,,,,,,,
ENSG00000284744.1,chr1,6767953,6770038,2085,NaN,,,,,,,
ENSG00000237436.1,chr1,6783891,6784843,952,NaN,,,,,,,
ENSG00000171735.19,chr1,6785453,7769706,984253,NaN,,,,,,,
ENSG00000227950.1,chr1,6834332,6834618,286,NaN,,,,,,,
ENSG00000237365.1,chr1,7008375,7014279,5904,NaN,,,,,,,
ENSG00000207056.1,chr1,7219359,7219524,165,NaN,,,,,,,
ENSG00000237402.1,chr1,7368941,7370270,1329,NaN,,,,,,,
ENSG00000237728.2,chr1,7382486,7389754,7268,NaN,,,,,,,
ENSG00000225126.1,chr1,7441095,7441554,459,NaN,,,,,,,
ENSG00000270171.1,chr1,7693123,7694844,1721,NaN,,,,,,,
ENSG00000270035.1,chr1,7698302,7698872,570,NaN,,,,,,,
ENSG00000269978.1,chr1,7700703,7700970,267,NaN,,,,,,,
ENSG00000049245.13,chr1,7771295,7781432,10137,NaN,,,,,,,
ENSG00000269925.1,chr1,7776382,7776775,393,NaN,,,,,,,
ENSG00000049246.14,chr1,7784319,7845177,60858,NaN,,,,,,,
ENSG00000236266.1,chr1,7810241,7827342,17101,NaN,,,,,,,
ENSG00000049247.14,chr1,7843082,7853512,10430,NaN,,,,,,,
ENSG00000049249.9,chr1,7915870,7943165,27295,NaN,,,,,,,
ENSG00000270330.1,chr1,7942371,7942726,355,NaN,,,,,,,
ENSG00000116288.13,chr1,7954290,7985505,31215,NaN,,,,,,,
ENSG00000200344.1,chr1,7982880,7982983,103,NaN,,,,,,,
ENSG00000284747.1,chr1,7991133,8005312,14179,NaN,,,,,,,
ENSG00000284716.1,chr1,7998186,7999934,1748,NaN,,,,,,,
ENSG00000116285.13,chr1,8004403,8026309,21906,NaN,,,,,,,
ENSG00000238290.1,chr1,8026737,8122702,95965,NaN,,,,,,,
ENSG00000232848.1,chr1,8057244,8058463,1219,NaN,,,,,,,
ENSG00000229305.1,chr1,8189823,8192770,2947,NaN,,,,,,,
ENSG00000227634.3,chr1,8201517,8215210,13693,NaN,,,,,,,
ENSG00000200975.1,chr1,8206433,8206597,164,NaN,,,,,,,
ENSG00000233645.1,chr1,8218189,8220529,2340,NaN,,,,,,,
ENSG00000251977.1,chr1,8292156,8292263,107,NaN,,,,,,,
ENSG00000162426.15,chr1,8317825,8344167,26342,NaN,,,,,,,
ENSG00000252254.1,chr1,8328066,8328179,113,NaN,,,,,,,
ENSG00000142599.19,chr1,8352396,8848921,496525,NaN,,,,,,,
ENSG00000232912.6,chr1,8424644,8435013,10369,NaN,,,,,,,
ENSG00000221083.1,chr1,8511794,8511919,125,NaN,,,,,,,
ENSG00000270282.1,chr1,8512652,8513021,369,NaN,,,,,,,
ENSG00000234619.1,chr1,8750429,8751087,658,NaN,,,,,,,
ENSG00000224315.2,chr1,8786210,8786913,703,NaN,,,,,,,
ENSG00000222511.2,chr1,8796570,8796673,103,NaN,,,,,,,
ENSG00000226545.1,chr1,8798474,8799506,1032,NaN,,,,,,,
ENSG00000228423.2,chr1,8805859,8807051,1192,NaN,,,,,,,
ENSG00000229716.2,chr1,8831006,8831375,369,NaN,,,,,,,
ENSG00000074800.16,chr1,8860999,8879190,18191,NaN,,,,,,,
ENSG00000274258.1,chr1,8866501,8866590,89,NaN,,,,,,,
ENSG00000230679.1,chr1,8878834,8879894,1060,NaN,,,,,,,
ENSG00000201725.1,chr1,8883426,8883533,107,NaN,,,,,,,
ENSG00000238249.2,chr1,8893408,8894151,743,NaN,,,,,,,
ENSG00000232208.2,chr1,8907392,8907744,352,NaN,,,,,,,
ENSG00000232663.2,chr1,8909741,8909904,163,NaN,,,,,,,
ENSG00000131686.15,chr1,8945866,8975092,29226,NaN,,,,,,,
ENSG00000265141.2,chr1,8979575,8979874,299,NaN,,,,,,,
ENSG00000197241.3,chr1,9003299,9026345,23046,NaN,,,,,,,
ENSG00000142583.18,chr1,9035105,9088478,53373,NaN,,,,,,,
ENSG00000252404.1,chr1,9082695,9082879,184,NaN,,,,,,,
ENSG00000180758.12,chr1,9100304,9129102,28798,NaN,,,,,,,
ENSG00000228526.7,chr1,9148010,9198906,50896,NaN,,,,,,,
ENSG00000284357.1,chr1,9151667,9151777,110,NaN,,,,,,,
ENSG00000234546.4,chr1,9182003,9196284,14281,NaN,,,,,,,
ENSG00000049239.13,chr1,9234773,9271337,36564,NaN,,,,,,,
ENSG00000171621.14,chr1,9292893,9369532,76639,NaN,,,,,,,
ENSG00000284652.1,chr1,9421097,9422862,1765,NaN,,,,,,,
ENSG00000284693.1,chr1,9425093,9440564,15471,NaN,,,,,,,
ENSG00000252956.1,chr1,9437668,9437778,110,NaN,,,,,,,
ENSG00000235263.1,chr1,9501091,9503471,2380,NaN,,,,,,,
ENSG00000171612.7,chr1,9539464,9585173,45709,NaN,,,,,,,
ENSG00000231181.1,chr1,9576426,9576985,559,NaN,,,,,,,
ENSG00000188807.13,chr1,9588910,9614877,25967,NaN,,,,,,,
ENSG00000171608.16,chr1,9651730,9729114,77384,NaN,,,,,,,
ENSG00000179840.5,chr1,9652609,9654586,1977,NaN,,,,,,,
ENSG00000233268.3,chr1,9660827,9662626,1799,NaN,,,,,,,
ENSG00000231789.2,chr1,9672425,9687555,15130,NaN,,,,,,,
ENSG00000171603.18,chr1,9728925,9823984,95059,NaN,,,,,,,
ENSG00000271264.1,chr1,9780821,9781240,419,NaN,,,,,,,
ENSG00000280113.2,chr1,9826288,9828271,1983,NaN,,,,,,,
ENSG00000178585.15,chr1,9848275,9910336,62061,NaN,,,,,,,
ENSG00000223989.1,chr1,9848317,9850154,1837,NaN,,,,,,,
ENSG00000285701.1,chr1,9900613,9908034,7421,NaN,,,,,,,
ENSG00000162441.12,chr1,9922112,9943407,21295,NaN,,,,,,,
